,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Tomato___Bacterial_spot,416,0,0,1,1,0,7,0,0,0
Tomato___Early_blight,4,453,6,0,4,1,11,1,0,0
Tomato___Late_blight,0,4,452,0,0,2,2,0,0,3
Tomato___Leaf_Mold,0,0,1,461,4,2,2,0,0,0
Tomato___Septoria_leaf_spot,1,0,0,0,429,0,6,0,0,0
Tomato___Spider_mites Two-spotted_spider_mite,0,0,0,0,0,418,15,0,0,2
Tomato___Target_Spot,0,0,0,0,3,4,441,0,0,9
Tomato___Tomato_Yellow_Leaf_Curl_Virus,3,0,1,0,0,2,0,484,0,0
Tomato___Tomato_mosaic_virus,0,0,0,0,0,0,1,0,447,0
Tomato___healthy,0,0,0,0,0,0,3,0,0,478
